x, y
8, 22.929936305732483
11, 45.859872611464965
14, 107.00636942675159
18, 244.5859872611465
21, 332.484076433121
26, 531.2101910828026
29, 775.796178343949
33, 1444.5859872611466
36, 1819.1082802547771
